id	filename	md5	size	state
6e7cf482-6c96-41ea-877e-27761eef46ac	c923695e-6fef-4f54-8a05-f2e99e99d121.mirbase21.isoforms.quantification.txt	2160dbe3cea14e6929f082530893cc62	362923	released
c6a4afd8-8044-475f-b4fd-a1b4cb922976	58bcabc9-6f6b-43c0-bf40-fa9396c6c9d7.rna_seq.augmented_star_gene_counts.tsv	a2fe2c45fccabd23f8c860c4fc8701b3	4216938	released
33aff57e-be2b-4bc1-a786-053f243427ef	ccf36e15-f9d7-4aac-8c42-dee43ca13b59_noid_Red.idat	d7344e64a39c9491f996e00e5dfbea89	8095305	released
7d6d0d73-217b-4d13-b467-ba931c250fe3	COPAL_p_TCGAb_337_338_339_NSP_GenomeWideSNP_6_E10_1373648.nocnv_grch38.seg.v2.txt	368084d872759e7cdbf2c46301da9641	11158	released
ae8b587b-1f8c-46bf-b174-71c48355dfc1	7577b42c-8206-443b-b224-f70f050031fc.methylation_array.sesame.level3betas.txt	73744f75b13fcd2c82798e7db9b435d9	13009197	released
42c7964c-6af3-4e2f-ac82-7927303c6f8e	TCGA-BRCA.1085f98f-9f84-4d1e-9c07-f6b43cc571b7.ascat2.allelic_specific.seg.txt	6c9dc74f7b9343106ef13a68988f980f	6026	released
b7046e91-53f8-4908-993c-c1c3edc22669	nationwidechildrens.org_ssf.TCGA-EW-A3U0.xml	65f6d26a5169c79e80a3f9704fc4c7eb	14877	released
e9fe0a5c-e94a-437c-8ae6-e4f698fcd257	JOUAL_p_TCGA_b96_SNP_N_GenomeWideSNP_6_H07_747868.nocnv_grch38.seg.v2.txt	a2ec5a37553657b77cd0946db295bab1	204867	released
4d3106f5-f0ab-4e82-856c-39238b6447fc	TCGA-OL-A6VR-01A-03-TSC.4CD184CF-7F28-4878-AC5B-6F3E03ED660A.svs	b7eebb34020225b8f88a5edce71b5d69	199170317	released
33a1de7b-a8dd-499e-8e88-5bfacfb7e081	TCGA-OL-A6VR.217745AA-6C5A-46C5-AC04-1C6581A96A04.PDF	a69816114d9fded15b2ac83dc96829d2	139654	released
b0393766-854d-41eb-80cc-08f584e25857	0ed0a7c8-5fc4-4771-939a-3cad6501e93c.methylation_array.sesame.level3betas.txt	9296d83c700a1a84afff7a7321e9058e	12850312	released
